"source_filename","identified_title","category_for_review","existing_project_slug","credit_status","year_to_confirm","language_to_confirm","exact_contribution_to_confirm","notes"
"777.jpg","777 Charlie","Film","","Client-supplied artwork; contribution unverified","","","",""
"AE DIL HAI MUSHKIL.jpeg","Ae Dil Hai Mushkil","Film","ae-dil-hai-mushkil","Existing website entry; role still requires evidence","","","",""
"AGNAYATHAVASI.jpg","Agnyathavasi — identity to confirm","Film","","Client-supplied artwork; contribution unverified","","","","Kannada poster; do not confuse with the Telugu film Agnyaathavaasi."
"ALAPUZHA GYMKNAHA.jpeg","Alappuzha Gymkhana","Film","","Client-supplied artwork; contribution unverified","","","",""
"AMBILI.jpg","Ambili","Film","","Client-supplied artwork; contribution unverified","","","",""
"ARJUN CHAKRAVARTHI.jpg","Arjun Chakravarthy","Film","","Client-supplied artwork; contribution unverified","","","",""
"ATHIDADI.jpg","Athiradi","Film","","Client-supplied artwork; contribution unverified","","","","Poster spelling differs from filename."
"Achyuta Avataaram.jpg","Achyuta Avataaram","Music release","","Client-supplied artwork; contribution unverified","","","","Poster identifies a music release; confirm the exact format."
"BAADAL AMBUM.jpeg","Baadal","Music release","","Client-supplied artwork; contribution unverified","","","",""
"BAD MANNAERS.jpg","Bad Manners","Film","","Client-supplied artwork; contribution unverified","","","",""
"BERMUDA.jpg","Bermuda","Film","","Client-supplied artwork; contribution unverified","","","",""
"BHEEMA.jpg","Bheema","Film","","Client-supplied artwork; contribution unverified","","","",""
"BHEEMANTE.jpg","Bheemante Vazhi","Film","","Client-supplied artwork; contribution unverified","","","",""
"BKU POS.jpg.jpeg","Bethlehem Kudumba Unit","Film","bethlehem-kudumba-unit","Existing website entry; role still requires evidence","","","",""
"DANGE.jpg","Dange","Film","","Client-supplied artwork; contribution unverified","","","","Confirm the language/version credit separately from Por."
"EKka 2.jpg","Ekka","Film","","Client-supplied artwork; contribution unverified","","","","The filename suffix 2 does not establish a sequel."
"FIRE fly.jpg","Firefly","Film","","Client-supplied artwork; contribution unverified","","","",""
"GEEJAGA hakki.jpg","Geejaga Hakki","Music release","","Client-supplied artwork; contribution unverified","","","","Song artwork; confirm parent film or standalone release."
"GODHI BANNA.jpg","Godhi Banna Sadharana Mykattu","Film","godhi-banna-sadharana-mykattu","Existing website entry; role still requires evidence","","","",""
"HEAD BUSH.jpg","Head Bush","Film","","Client-supplied artwork; contribution unverified","","","",""
"HI.jpg","Hi","Film","hi","Existing website entry; role still requires evidence","","","","Confirm release year; existing site value is not independently verified."
"IMG-20250531-WA00251.jpg","Title to confirm","Unidentified","","Client-supplied artwork; contribution unverified","","","","Kannada teaser poster; identify from original title/production details, not the WhatsApp filename."
"JAMES.jpg","James","Film","","Client-supplied artwork; contribution unverified","","","",""
"JUST MARRIED.jpg","Just Married","Film","","Client-supplied artwork; contribution unverified","","","","Confirm the Kannada production/version."
"KABALI.webp","Kabali","Film","kabali","Existing website entry; role still requires evidence","","","",""
"KALA.jpeg","Kaala","Film","","Client-supplied artwork; contribution unverified","","","","Rajinikanth poster: not the Malayalam film Kala."
"KAMBI KATTNA KATHAI.jpg","Kambi Katna Kathai","Film","","Client-supplied artwork; contribution unverified","","","","Confirm official English spelling."
"KASARGOLD.jpg","Kasargold","Film","","Client-supplied artwork; contribution unverified","","","",""
"KATTU THOTTAPPOL.jpg","Kaattu Thottappol — Live","Music release","","Client-supplied artwork; contribution unverified","","","",""
"KAVALUDAARI.jpg","Kavaludaari","Film","kavaludaari","Existing website entry; role still requires evidence","","","",""
"KUIKO.jpg","Kuiko","Film","","Client-supplied artwork; contribution unverified","","","",""
